index,code,areaName,cx,cy,region,Average size,Under 25,25-50,50+,ratio
43,E07000217,Woking,500423,158249,E12000008,2.48747466,20715,41555,40492,0.1468009267
44,E07000224,Arun,500922,105536,E12000008,2.220723634,27911,50033,85605,0.1468380405
45,E09000022,Lambeth,530807,174499,E12000007,2.319647179,72622,154826,87067,0.1471090362
46,E07000096,Dacorum,500758,209858,E12000006,2.40889737,30566,59438,63292,0.147685342
47,E07000223,Adur,519857,106296,E12000008,2.305994147,11562,21864,30582,0.1481000883
48,E06000022,Bath and North East Somerset,367057,162001,E12000009,2.338826498,49719,62576,79342,0.1481002415
49,E09000029,Sutton,526964,164120,E12000007,2.529720343,43033,85154,79150,0.1482777889
50,E07000115,Tonbridge and Malling,564511,155282,E12000008,2.446207257,26433,47278,57131,0.1484660909
51,E07000063,Lewes,541167,111026,E12000008,2.251716719,17635,30423,51056,0.1484734166
52,E07000179,South Oxfordshire,464397,193175,E12000008,2.385254565,27909,53103,66590,0.1491548623
53,E07000085,East Hampshire,473316,131076,E12000008,2.35356716,23155,40528,60973,0.1497883313
54,E09000017,Hillingdon,507905,183585,E12000007,2.74255921,70150,125457,106498,0.1504523352
55,E06000060,Buckinghamshire,482081,210241,E12000008,2.474043245,111237,199784,236412,0.1505516459
56,E07000227,Horsham,514696,122819,E12000008,2.312580169,27214,48539,69701,0.1512276544
57,E07000093,Test Valley,434314,136669,E12000008,2.354386414,23819,45963,59491,0.1518976908
58,E07000212,Runnymede,501617,167042,E12000008,2.415224318,21771,31059,34370,0.1522125118
59,E07000181,West Oxfordshire,434067,215553,E12000008,2.329109439,21552,39175,52429,0.1523756174
60,E07000116,Tunbridge Wells,570254,137789,E12000008,2.350317283,23001,41019,50160,0.1527940933
61,E07000046,Torridge,241935,112003,E12000009,2.209619173,11248,19180,37177,0.1530668843
62,E07000045,Teignbridge,282849,79821,E12000009,2.216855792,22686,40549,70528,0.1533181526
63,E07000240,St Albans,514441,209482,E12000006,2.489964401,30188,55879,60613,0.15369935
64,E07000040,East Devon,313793,96775,E12000009,2.219770019,24894,43247,81488,0.1541608604
65,E07000064,Rother,578409,119997,E12000008,2.166979407,15096,24047,53291,0.154387136
66,E06000059,Dorset,376581,100771,E12000009,2.195052494,63984,105547,207383,0.1545475137
67,E07000238,Wychavon,396608,251844,E12000005,2.283766585,23128,42312,65896,0.1546115085
68,E09000032,Wandsworth,526055,174145,E12000007,2.34835108,69419,166039,88024,0.1553624882
69,E07000089,Hart,476958,154529,E12000008,2.442423181,19616,35423,43441,0.1555360482
70,E07000211,Reigate and Banstead,526286,152009,E12000008,2.464402079,29225,57933,62013,0.1555979133
71,E09000023,Lewisham,537676,174051,E12000007,2.426463499,64767,141047,90898,0.1561435931
72,E09000025,Newham,541466,182855,E12000007,2.985446895,90502,166884,88863,0.1563464033
73,E07000209,Guildford,500446,150851,E12000008,2.42470814,36652,49116,56635,0.1569252172
74,E07000012,South Cambridgeshire,542444,254795,E12000006,2.399382053,30644,60019,69863,0.1583089516
75,E06000041,Wokingham,477672,170613,E12000008,2.524159968,36438,67218,72121,0.1592837926
76,E07000228,Mid Sussex,531427,126224,E12000008,2.375917536,28782,54690,67590,0.1594314722
77,E07000066,Basildon,570901,190821,E12000006,2.444416799,39081,71287,74958,0.1596335601
78,E07000074,Maldon,592438,204831,E12000006,2.354695341,12018,20040,33591,0.1602550947
79,E09000018,Hounslow,513589,175668,E12000007,2.769198644,62832,127959,93858,0.1603850458
80,E09000016,Havering,554032,187245,E12000007,2.569215427,54294,99636,105031,0.1605790859
81,E07000106,Canterbury,616375,158359,E12000008,2.322219087,41245,47166,67783,0.1608050524
82,E07000214,Surrey Heath,492648,161313,E12000008,2.467534992,17556,32317,39755,0.1609471812
83,E07000035,Derbyshire Dales,420549,359062,E12000004,2.181086021,11652,19958,39448,0.1619055725
84,E06000052,Cornwall,199168,59975,E12000009,2.243607756,104482,176185,284911,0.1621889133
85,E07000213,Spelthorne,506652,170605,E12000008,2.442913527,19680,39503,42627,0.1625165662
86,E09000006,Bromley,542864,165667,E12000007,2.41483652,63907,127986,134439,0.1633249216
87,E06000037,West Berkshire,448409,172535,E12000008,2.378334183,32049,56754,71135,0.1648737676
88,E07000041,Exeter,293498,92447,E12000009,2.299164653,38400,44495,46654,0.1650615142
89,E07000180,Vale of White Horse,438787,192976,E12000008,2.363803958,26970,50802,59741,0.1650673657
90,E06000058,Bournemouth Christchurch and Poole,408362,94131,E12000009,2.240069949,82489,139155,174870,0.1651284619
91,E06000025,South Gloucestershire,367431,183263,E12000009,2.412316576,61219,106080,120060,0.1664139758
92,E07000229,Worthing,513043,104470,E12000008,2.212657717,20271,38965,51077,0.1668179439
93,E09000008,Croydon,533300,163557,E12000007,2.52908216,84620,160082,140931,0.1676278588
94,E07000200,Babergh,599986,243163,E12000006,2.267567097,16351,27875,47393,0.1678717034
95,E07000069,Castle Point,579982,185122,E12000006,2.382475661,16791,28214,43785,0.1680342598
96,E07000082,Stroud,379361,203473,E12000009,2.287964413,21953,39105,59050,0.168516269
97,E07000090,Havant,471226,104842,E12000008,2.295918939,22891,39213,60974,0.1688424055
98,E07000221,Stratford-on-Avon,425910,253437,E12000005,2.246132114,22964,42816,67749,0.1690266815
99,E07000075,Rochford,594750,191782,E12000006,2.400686184,16350,27664,40860,0.169707661
100,E06000046,Isle of Wight,449779,86461,E12000008,2.121873649,22870,40041,76558,0.1700524525
101,E07000243,Stevenage,524559,224521,E12000006,2.432131902,18601,35372,34472,0.1704910013
102,E09000002,Barking and Dagenham,548056,184924,E12000007,2.937714812,56328,94871,64508,0.1707239825
103,E07000144,Broadland,623735,316663,E12000006,2.256964283,22598,41809,66300,0.1708282723
104,E06000023,Bristol,346546,172919,E12000009,2.384754669,121664,196863,148769,0.1715221571
105,E06000017,Rutland,491121,307844,E12000004,2.242302624,8175,12654,19946,0.1716035924
106,E07000203,Mid Suffolk,611211,265459,E12000006,2.287524806,18311,31799,51726,0.1722364538
107,E06000019,Herefordshire,349035,245285,E12000005,2.228268218,32520,57573,95430,0.17245965
108,E07000070,Chelmsford,571456,205876,E12000006,2.374123046,35763,67657,76302,0.1728633167
109,E07000149,South Norfolk,622377,295780,E12000006,2.282823675,25043,46776,68870,0.1733058494
110,E07000244,East Suffolk,636456,265500,E12000006,2.188137139,43068,72128,128987,0.1735329592
111,E06000054,Wiltshire,403934,155301,E12000009,2.31540847,97648,171499,236632,0.1736479152
112,E07000042,Mid Devon,290588,109637,E12000009,2.304397856,15479,26084,40533,0.1739927534
113,E07000103,Watford,510556,197803,E12000006,2.555429379,21574,45192,34208,0.1743078553
114,E07000235,Malvern Hills,376452,253907,E12000005,2.224964173,13831,22279,42824,0.1753427317
115,E07000105,Ashford,596857,139969,E12000008,2.45765369,26745,47150,57449,0.175392208
116,E06000036,Bracknell Forest,487739,168395,E12000008,2.428912594,26005,49564,47679,0.1757886288
117,E07000073,Harlow,545614,209915,E12000006,2.45471115,19909,37694,34541,0.1758098924
118,E06000056,Central Bedfordshire,507413,235392,E12000006,2.415318874,57071,110913,122958,0.1765359573
119,E07000087,Fareham,454571,106165,E12000008,2.316577232,20255,36744,56606,0.1769259585
120,E09000011,Greenwich,542847,177046,E12000007,2.486764925,64809,131604,88882,0.1770623884
121,E07000086,Eastleigh,447331,115065,E12000008,2.379035941,26326,50126,58612,0.177086105
122,E07000095,Broxbourne,534904,204646,E12000006,2.477979372,20462,37291,40136,0.1778906443
123,E07000114,Thanet,632674,166985,E12000008,2.230900322,26536,46218,66432,0.1782820818
124,E07000110,Maidstone,580248,151563,E12000008,2.432331091,34453,65316,74079,0.1785892267
125,E09000030,Tower Hamlets,536495,181509,E12000007,2.502318752,83997,160468,61868,0.1787019521
126,E07000062,Hastings,580952,110924,E12000008,2.214149754,17455,31776,40875,0.178791731
127,E09000004,Bexley,548955,175730,E12000007,2.571726881,52906,92892,97860,0.179176696
128,E07000099,North Hertfordshire,524291,230523,E12000006,2.328820491,25196,49387,57217,0.1800059624
129,E06000014,York,461737,451799,E12000003,2.240700219,51924,67797,81412,0.1804143614
130,E07000177,Cherwell,449860,229130,E12000008,2.408783938,31714,62376,65148,0.181562651
131,E07000143,Breckland,592273,302678,E12000006,2.302556371,25451,45400,69403,0.1823154871
132,E06000024,North Somerset,344429,165882,E12000009,2.263130091,39760,71634,103391,0.1824255824
133,W06000021,Monmouthshire,340238,206911,W92000004,2.235675015,15971,28156,48099,0.182525789
134,E07000112,Folkestone and Hythe,610024,132599,E12000008,2.229979933,19802,34544,54459,0.1828532
135,E07000067,Braintree,578133,230213,E12000006,2.369337068,30238,54710,68874,0.1829613229
136,E07000133,Melton,477226,322729,E12000004,2.272534183,9256,16268,25792,0.1840858932
137,E06000055,Bedford,504237,255656,E12000006,2.437211474,38923,71329,72813,0.1845831225
138,E07000226,Crawley,527313,137822,E12000008,2.589446618,25487,50009,41499,0.1850891544
139,E08000009,Trafford,376532,391465,E12000002,2.425131662,47817,88647,96216,0.1851345503
140,E07000068,Brentwood,559999,195829,E12000006,2.362160658,14569,27828,33847,0.1858954437
141,E07000083,Tewkesbury,394038,227458,E12000009,2.30285114,17235,32753,43929,0.1859378932
142,W06000014,Vale of Glamorgan,302809,172697,W92000004,2.267050796,25224,44568,60914,0.1869609452
143,E07000092,Rushmoor,486069,153516,E12000008,2.498804071,20182,41144,37167,0.1871807232
144,E07000176,Rushcliffe,464834,334124,E12000004,2.335010625,23592,40346,54100,0.1874243816
145,E07000109,Gravesham,566746,170115,E12000008,2.547023296,22745,39947,42938,0.1877309919
146,E07000135,Oadby and Wigston,461524,299185,E12000004,2.468850864,12321,19336,25603,0.1885505465
147,E07000131,Harborough,467383,293977,E12000004,2.380397397,18517,32449,45794,0.1885810982
148,E07000234,Bromsgrove,398961,273791,E12000005,2.354537744,18658,32537,47103,0.1886744921
149,E07000242,East Hertfordshire,537205,220364,E12000006,2.389329593,29974,54974,63652,0.1890567147
150,E06000027,Torbay,291417,61223,E12000009,2.176572372,24172,42106,71963,0.1892892843
151,E07000130,Charnwood,457739,315833,E12000004,2.373517653,45423,62354,74537,0.1896186458
152,E07000061,Eastbourne,559822,99749,E12000008,2.184104363,19289,33070,48438,0.1899112365
153,E07000107,Dartford,556785,172676,E12000008,2.537990196,24669,48989,41499,0.1905839128
154,E06000032,Luton,508515,222915,E12000006,2.80789207,57088,91957,73081,0.1928922888
155,E07000245,West Suffolk,578957,267629,E12000006,2.228075077,35474,64854,77777,0.1935545738
156,E07000108,Dover,629815,151044,E12000008,2.261751207,21565,37276,56506,0.1939357124
157,E07000011,Huntingdonshire,521228,276573,E12000006,2.319632149,33575,65587,79918,0.1952448778
158,E06000033,Southend-on-Sea,589363,185610,E12000006,2.278947167,35816,66720,76189,0.1962822399
159,E07000071,Colchester,597077,223202,E12000006,2.352850404,43401,71137,76172,0.1967772302
160,E07000009,East Cambridgeshire,556466,274112,E12000006,2.338010376,16348,31496,39124,0.1970804622
161,E07000084,Basingstoke and Deane,455819,153006,E12000008,2.397925501,35991,71589,75579,0.1975934336
162,E07000146,Kings Lynn and West Norfolk,566910,317216,E12000006,2.260034982,27251,48526,77177,0.1983383784
163,E06000039,Slough,498180,179746,E12000008,2.991148923,38277,70461,47594,0.1985177124
164,E06000035,Medway,578769,172759,E12000008,2.474797682,60406,105668,110423,0.1985224269
165,E07000222,Warwick,428512,268090,E12000005,2.307254987,32909,53834,60337,0.1987141898
166,W06000023,Powys,303993,270454,W92000004,2.187414842,22637,38216,71269,0.1990040083
167,E07000080,Forest of Dean,366318,214546,E12000009,2.284958083,16227,26121,43934,0.1990306576
168,E07000076,Tendring,614571,223776,E12000006,2.172875928,25422,41538,80068,0.200868695
169,E06000034,Thurrock,564863,181237,E12000006,2.638574183,39434,71845,62431,0.2021273066
170,E07000113,Swale,595988,164044,E12000008,2.455178114,31050,54432,64609,0.202465105
171,E08000029,Solihull,418611,279457,E12000005,2.40090966,43149,73428,97585,0.2032809516
172,E07000196,South Staffordshire,388140,303026,E12000005,2.311398278,19281,34590,55672,0.2037115359
173,E07000132,Hinckley and Bosworth,441354,302271,E12000004,2.281736,20554,39164,52899,0.2049986977
174,E07000078,Cheltenham,395079,221973,E12000009,2.178396567,25528,43142,49136,0.2055741194
175,W06000001,Isle of Anglesey,241795,379205,W92000004,2.210823438,12290,20451,35561,0.2076269201
176,E07000141,South Kesteven,499893,329594,E12000004,2.261957041,26387,46927,68822,0.2079591807
177,E06000042,Milton Keynes,486881,243629,E12000008,2.517311807,62487,118597,102717,0.2079950473
178,E07000139,North Kesteven,504210,354897,E12000004,2.275118163,21445,38845,56801,0.2086104735
179,E06000038,Reading,470639,173186,E12000008,2.494215682,42751,74822,54682,0.2090635662
180,E06000051,Shropshire,350424,304422,E12000005,2.260590777,58103,99638,163211,0.2097136037
181,E06000061,North Northamptonshire,493494,281667,E12000004,2.390077828,72867,132850,150094,0.2107806237
182,W06000008,Ceredigion,258574,263991,W92000004,2.193739479,16377,19249,35341,0.2110953888
183,E07000220,Rugby,445826,276476,E12000005,2.394210112,22869,43459,46850,0.2118848567
184,E07000236,Redditch,403427,264902,E12000005,2.382236517,17502,32835,35741,0.2123568472
185,W06000009,Pembrokeshire,201312,221152,W92000004,2.193504785,22300,36585,63480,0.2124314943
186,E07000129,Blaby,452852,297375,E12000004,2.40700815,19646,36831,45425,0.2133582219
187,E07000088,Gosport,459361,100995,E12000008,2.249317967,16016,27764,37352,0.2135682514
188,E06000062,West Northamptonshire,465908,258722,E12000004,2.426903227,89511,161380,170377,0.2147197474
189,E07000194,Lichfield,413297,310036,E12000005,2.301030024,19397,34928,51151,0.215019042
190,E08000007,Stockport,391577,388561,E12000002,2.308531723,55689,107612,128292,0.216014436
191,E06000016,Leicester,459135,304861,E12000004,2.767986812,104335,142440,117591,0.2177752367
192,W06000015,Cardiff,316778,179542,W92000004,2.351116179,99507,134110,125133,0.2178094639
193,E07000140,South Holland,532780,324067,E12000004,2.31637266,17157,31377,45688,0.219647126
194,E06000049,Cheshire East,376729,364874,E12000002,2.254596613,72007,135670,187446,0.2204690439
195,E06000026,Plymouth,249389,56735,E12000009,2.246113289,61044,93297,107902,0.2211469018
196,E06000044,Portsmouth,465010,102752,E12000008,2.335318151,53599,77710,74459,0.2214837196
197,E07000173,Gedling,459166,348277,E12000004,2.262002211,21438,41058,53625,0.2226952301
198,E07000148,Norwich,622020,308886,E12000006,2.132434613,39228,54962,48395,0.2244350266
199,E07000037,High Peak,408491,386271,E12000004,2.213700579,16353,29908,43886,0.2248541956
200,E07000239,Wyre Forest,381336,275771,E12000005,2.218875502,18190,32332,50204,0.2266945533
201,E08000003,Manchester,384645,394923,E12000002,2.460124156,165262,226004,154096,0.2274469675
202,E07000081,Gloucester,383531,216834,E12000009,2.355261971,28914,49321,52770,0.2279392802
203,W06000004,Denbighshire,309404,355776,W92000004,2.220256211,18223,29135,47596,0.2280081931
204,E07000199,Tamworth,421984,303220,E12000005,2.380593385,15939,28844,33008,0.2281796636
205,E07000137,East Lindsey,535540,374440,E12000004,2.159557711,23049,38150,80046,0.2287764968
206,E07000192,Cannock Chase,401418,312745,E12000005,2.30069029,19509,35838,44087,0.2300201942
207,E07000175,Newark and Sherwood,472378,359080,E12000004,2.260889131,22996,40816,57941,0.2300264833
208,E07000010,Fenland,539807,298084,E12000006,2.291450219,18956,34448,48083,0.23018728
209,E07000038,North East Derbyshire,436969,370027,E12000004,2.202144084,17799,32424,50867,0.2314939427
210,W06000002,Gwynedd,263903,334963,W92000004,2.222933177,25504,35555,55355,0.2321509519
211,E06000007,Warrington,362665,389223,E12000002,2.294764745,41239,76111,91673,0.2321990935
212,E07000145,Great Yarmouth,647815,311075,E12000006,2.216078484,18865,31949,48007,0.2344326842
213,E06000045,Southampton,442376,113232,E12000008,2.33154432,66440,97395,82365,0.234617328
214,E07000124,Ribble Valley,370849,445761,E12000002,2.263356638,11238,18788,31068,0.2346261931
215,E06000031,Peterborough,518343,302621,E12000006,2.51989779,48128,87928,76920,0.2347863266
216,E07000237,Worcester,385680,255359,E12000005,2.28036401,23244,38015,41621,0.2352601839
217,E06000050,Cheshire West and Chester,350919,367257,E12000002,2.268326953,69617,122386,161867,0.2354643986
218,E07000202,Ipswich,616698,244356,E12000006,2.317644093,30010,54604,53501,0.2360463921
219,E07000134,North West Leicestershire,440239,317453,E12000004,2.317063951,20592,36843,46219,0.238828388
220,W06000022,Newport,333448,186541,W92000004,2.38659864,33456,60787,63512,0.2396554712
221,E07000127,West Lancashire,341717,412911,E12000002,2.323635465,26776,35789,53933,0.2398160962
222,E06000030,Swindon,417817,185857,E12000009,2.41951535,47283,91826,91801,0.240565272
223,E07000039,South Derbyshire,429750,326002,E12000004,2.339655172,21218,39047,45843,0.2421134995
224,E07000197,Stafford,388230,327866,E12000005,2.241677353,24599,46264,64782,0.2430810551
225,E07000119,Fylde,339324,432384,E12000002,2.120299952,13079,24002,43718,0.2443130542
226,E08000030,Walsall,402370,300150,E12000005,2.511690696,63942,103104,113746,0.2443829845
227,E07000219,Nuneaton and Bedworth,435701,289373,E12000005,2.357120136,26964,48784,56982,0.2450272338
228,E08000025,Birmingham,408620,287849,E12000005,2.625701372,309088,434469,387087,0.2472172516
229,E08000027,Dudley,392753,287253,E12000005,2.342905294,65183,113286,141563,0.247846299
230,E06000020,Telford and Wrekin,367109,314837,E12000005,2.398405437,40502,67012,76024,0.2489372996
231,E07000171,Bassetlaw,469431,382275,E12000004,2.244451786,21726,39401,55561,0.2496539153
232,E06000018,Nottingham,455451,340739,E12000004,2.406356968,106047,115963,98451,0.2497303855
233,E07000198,Staffordshire Moorlands,401331,353540,E12000005,2.240088782,16518,28811,49728,0.2504857236
234,W06000003,Conwy,283987,361802,W92000004,2.160390543,19759,33801,60249,0.2510251412
235,E07000136,Boston,532926,343714,E12000004,2.369906809,13887,25076,30897,0.251030662
236,E08000035,Leeds,432624,436701,E12000003,2.312195065,201261,306406,295467,0.2514170264
237,E08000014,Sefton,332846,408176,E12000002,2.239348045,51065,91148,134566,0.2519074769
238,E07000193,East Staffordshire,412763,329519,E12000005,2.375984559,25120,45033,52527,0.2519647736
239,E07000218,North Warwickshire,425346,294421,E12000005,2.332813633,11928,21712,30796,0.2527468916
240,E08000026,Coventry,432736,280037,E12000005,2.475022551,92393,127757,121252,0.2546122671
241,E07000126,South Ribble,353203,425975,E12000002,2.26883181,20622,38037,51358,0.2556268534
242,E08000008,Tameside,395938,397900,E12000002,2.304992615,47512,85259,95765,0.2571175644
243,E08000028,Sandwell,399516,290879,E12000005,2.59872856,79828,131915,125848,0.2573860166
244,E07000172,Broxtowe,449657,342283,E12000004,2.251111433,21460,38468,50059,0.2575900412
245,E08000019,Sheffield,430011,389797,E12000003,2.307161026,140630,196755,213416,0.2576189909
246,E08000002,Bury,379434,410155,E12000002,2.373926513,40204,70498,81024,0.2577756098
247,E07000142,West Lindsey,501339,389522,E12000004,2.219742591,16739,29043,48587,0.2578273785
248,E07000032,Amber Valley,435845,348157,E12000004,2.223853015,22878,42039,60191,0.2596749939
249,E07000121,Lancaster,353328,463919,E12000002,2.244786023,35338,44779,61580,0.2625613346
250,E07000195,Newcastle-under-Lyme,378749,344081,E12000005,2.24656047,26279,40146,55765,0.2640467582
251,E06000011,East Riding of Yorkshire,499908,442365,E12000003,2.209276174,58608,103668,177319,0.2666049138
252,E07000034,Chesterfield,440052,373318,E12000004,2.135292037,19227,35440,47951,0.2676027626
253,W06000010,Carmarthenshire,251227,224511,W92000004,2.268875598,35227,58873,92117,0.2712193454
254,W06000011,Swansea,257445,195641,W92000004,2.221985099,54818,79227,102443,0.2712765928
255,E06000015,Derby,435851,335169,E12000004,2.418174762,61712,97065,99647,0.2730384646
256,E07000118,Chorley,357265,418497,E12000002,2.294217382,21737,42127,52759,0.2732007536
257,E08000031,Wolverhampton,391927,299026,E12000005,2.472517857,58741,99610,102289,0.2733304306
258,E08000005,Rochdale,389646,413331,E12000002,2.454230074,49775,82999,88213,0.2733913417
259,E08000015,Wirral,327405,386273,E12000002,2.214914975,61218,106715,149288,0.2748907013
260,W06000005,Flintshire,322419,369649,W92000004,2.299965626,29537,52619,71386,0.2754201814
261,W06000013,Bridgend,289150,185340,W92000004,2.289704939,28153,50655,65332,0.2760324316
262,E08000006,Salford,375503,399266,E12000002,2.284091107,66465,110723,89196,0.2768928826
263,E08000036,Wakefield,438985,418409,E12000003,2.284043769,69082,129326,151111,0.2779547312
264,W06000020,Torfaen,327301,200555,W92000004,2.27889466,18268,31806,41285,0.2784755737
265,E07000036,Erewash,443979,337734,E12000004,2.227182421,21265,39441,51213,0.2792810213
266,E07000174,Mansfield,455327,364075,E12000004,2.283352765,21086,40059,48238,0.2816496043
267,E07000170,Ashfield,449768,355201,E12000004,2.29571806,24673,44829,55563,0.2817848709
268,W06000006,Wrexham,331795,344142,W92000004,2.281296405,26839,47201,59819,0.2824026911
269,E07000125,Rossendale,382473,421988,E12000002,2.292421962,13828,25012,31348,0.2843008883
270,E08000034,Kirklees,415745,414567,E12000003,2.398136964,96583,155015,176865,0.285123161
271,E07000128,Wyre,344008,445536,E12000002,2.171801135,19331,32644,59042,0.2887297953
272,E06000057,Northumberland,395886,594161,E12000001,2.15084875,55550,98219,164221,0.2887683102
273,E08000022,North Tyneside,430940,570503,E12000001,2.158128273,38719,75409,92846,0.2888833643
274,W06000018,Caerphilly,316753,195610,W92000004,2.295081107,35098,61641,77610,0.2918546428
275,E07000138,Lincoln,496573,370718,E12000004,2.265397826,31290,36424,35064,0.2927235896
276,E06000006,Halton,352162,383230,E12000002,2.279798395,26181,46192,54841,0.2954657418
277,E08000010,Wigan,361033,403243,E12000002,2.283414276,64973,118985,142015,0.2964196124
278,E08000004,Oldham,396668,406152,E12000002,2.563373023,57760,88319,93022,0.2977665168
279,E08000018,Rotherham,447556,390471,E12000003,2.314865043,53859,93565,115626,0.2981203665
280,E08000021,Newcastle upon Tyne,421988,568195,E12000001,2.300447079,87541,105655,103962,0.3004018709
281,E07000033,Bolsover,448358,368917,E12000004,2.257529352,15209,28000,36252,0.3026376411
282,E08000032,Bradford,409656,438737,E12000003,2.563134923,133373,203489,202925,0.3059977453
283,E08000033,Calderdale,401827,424977,E12000003,2.266335824,41831,72447,90243,0.3064781123
284,E08000012,Liverpool,339133,389144,E12000002,2.233046253,126679,177291,177109,0.3085968696
285,E06000009,Blackpool,331921,436188,E12000002,2.128632947,27232,47903,64491,0.3129107746
286,E08000001,Bolton,369187,409211,E12000002,2.461651135,66456,107128,118834,0.3142682525
287,E06000013,North Lincolnshire,493268,411782,E12000003,2.294846741,32335,56163,79615,0.3162070769
288,E06000003,Redcar and Cleveland,463383,518023,E12000001,2.194376845,25851,43043,66466,0.3233185152
289,E08000011,Knowsley,344694,392430,E12000002,2.325518744,32017,56059,64654,0.3234154265
290,E06000004,Stockton-on-Tees,443484,518785,E12000001,2.308789818,39694,69824,85160,0.3313716501
291,E07000123,Preston,354185,435253,E12000002,2.376134476,37405,54959,53715,0.3324965675
292,E08000017,Doncaster,460041,405684,E12000003,2.270424561,61510,109863,133452,0.3334000305
293,E08000016,Barnsley,431083,404470,E12000003,2.247015271,47381,87025,107659,0.3341668313
294,W06000016,Rhondda Cynon Taf,300745,195665,W92000004,2.279291659,50071,82917,102359,0.3391820001
295,E08000023,South Tyneside,435717,563346,E12000001,2.145850723,28066,50535,67722,0.3393740907
296,E08000013,St. Helens,352124,396102,E12000002,2.246559109,35340,64683,81396,0.3415734875
297,E06000008,Blackburn with Darwen,369254,421850,E12000002,2.599673286,38074,57765,56971,0.3423048017
298,W06000012,Neath Port Talbot,279564,199348,W92000004,2.229639605,29193,47561,64270,0.3427199197
299,E08000024,Sunderland,435242,554109,E12000001,2.212150726,54290,94317,122942,0.3431315315
