code,value,areaName,cx,cy,region,Average size
E08000018,927.7,Rotherham,447556,390471,E12000003,2.314865043
E08000021,2646.1,Newcastle upon Tyne,421988,568195,E12000001,2.300447079
E08000022,2538.6,North Tyneside,430940,570503,E12000001,2.158128273
E08000023,2294.2,South Tyneside,435717,563346,E12000001,2.145850723
E08000024,1994.6,Sunderland,435242,554109,E12000001,2.212150726
E08000025,4275.4,Birmingham,408620,287849,E12000005,2.625701372
E08000026,3500.7,Coventry,432736,280037,E12000005,2.475022551
E08000027,3302.4,Dudley,392753,287253,E12000005,2.342905294
E08000028,3994.9,Sandwell,399516,290879,E12000005,2.59872856
E08000029,1212.9,Solihull,418611,279457,E12000005,2.40090966
E08000030,2733.1,Walsall,402370,300150,E12000005,2.511690696
E08000031,3797.9,Wolverhampton,391927,299026,E12000005,2.472517857
E08000032,1491.2,Bradford,409656,438737,E12000003,2.563134923
E08000033,567.8,Calderdale,401827,424977,E12000003,2.266335824
E08000034,1060.3,Kirklees,415745,414567,E12000003,2.398136964
E08000035,1471.7,Leeds,432624,436701,E12000003,2.312195065
E08000036,1043.6,Wakefield,438985,418409,E12000003,2.284043769
E08000037,1378,Gateshead,420364,560133,E12000001,2.171921348
E09000001,2975,City of London,532539,181164,E12000007,1.702889703
E09000002,6065.8,Barking and Dagenham,548056,184924,E12000007,2.937714812
E09000003,4488.7,Barnet,524095,192314,E12000007,2.584580672
E09000004,4070.7,Bexley,548955,175730,E12000007,2.571726881
E09000005,7859.6,Brent,520189,185924,E12000007,2.800278211
E09000006,2197.7,Bromley,542864,165667,E12000007,2.41483652
E09000007,9640.9,Camden,527931,184580,E12000007,2.181970094
E09000008,4516,Croydon,533300,163557,E12000007,2.52908216
E09000009,6611.6,Ealing,515931,181701,E12000007,2.703197714
E09000010,4082.5,Enfield,532411,196432,E12000007,2.702137689
E09000011,6108.6,Greenwich,542847,177046,E12000007,2.486764925
E09000013,11161.1,Hammersmith and Fulham,523529,178905,E12000007,2.220188568
E09000014,8930.2,Haringey,531225,189614,E12000007,2.477752826
E09000015,5175.4,Harrow,514912,190121,E12000007,2.873329466
E09000016,2332.3,Havering,554032,187245,E12000007,2.569215427
E09000017,2644,Hillingdon,507905,183585,E12000007,2.74255921
E09000018,5148,Hounslow,513589,175668,E12000007,2.769198644
E09000019,14574.9,Islington,531145,185005,E12000007,2.184235616
E09000020,11816.5,Kensington and Chelsea,525606,179504,E12000007,2.100068776
E09000021,4512.1,Kingston upon Thames,519327,166705,E12000007,2.507847499
E09000022,11839.1,Lambeth,530807,174499,E12000007,2.319647179
E09000023,8551.5,Lewisham,537676,174051,E12000007,2.426463499
E09000024,5721.6,Merton,525579,169458,E12000007,2.614298474
E09000025,9690.1,Newham,541466,182855,E12000007,2.985446895
E09000026,5501.9,Redbridge,543919,189405,E12000007,2.955212943
E09000027,3401.9,Richmond upon Thames,517367,172867,E12000007,2.395626045
E09000028,10659,Southwark,533829,176738,E12000007,2.306257549
E09000029,4781,Sutton,526964,164120,E12000007,2.529720343
E09000030,15702.9,Tower Hamlets,536495,181509,E12000007,2.502318752
E09000031,7173.3,Waltham Forest,537726,190195,E12000007,2.67206344
E09000032,9560,Wandsworth,526055,174145,E12000007,2.34835108
E09000033,9514.2,Westminster,527739,181005,E12000007,2.097252544
W06000001,96.7,Isle of Anglesey,241795,379205,W92000004,2.210823438
W06000002,46.3,Gwynedd,263903,334963,W92000004,2.222933177
W06000003,101.9,Conwy,283987,361802,W92000004,2.160390543
W06000004,114.5,Denbighshire,309404,355776,W92000004,2.220256211
W06000005,352.3,Flintshire,322419,369649,W92000004,2.299965626
W06000006,268.2,Wrexham,331795,344142,W92000004,2.281296405
W06000008,40,Ceredigion,258574,263991,W92000004,2.193739479
W06000009,76.2,Pembrokeshire,201312,221152,W92000004,2.193504785
W06000010,79.3,Carmarthenshire,251227,224511,W92000004,2.268875598
W06000011,631.5,Swansea,257445,195641,W92000004,2.221985099
W06000012,322.5,Neath Port Talbot,279564,199348,W92000004,2.229639605
W06000013,580.1,Bridgend,289150,185340,W92000004,2.289704939
W06000014,398.4,Vale of Glamorgan,302809,172697,W92000004,2.267050796
W06000015,2571.3,Cardiff,316778,179542,W92000004,2.351116179
W06000016,560.3,Rhondda Cynon Taf,300745,195665,W92000004,2.279291659
W06000018,634.2,Caerphilly,316753,195610,W92000004,2.295081107
W06000019,615.1,Blaenau Gwent,317699,208201,W92000004,2.192880686
W06000020,734.4,Torfaen,327301,200555,W92000004,2.27889466
W06000021,109.5,Monmouthshire,340238,206911,W92000004,2.235675015
W06000022,838.1,Newport,333448,186541,W92000004,2.38659864
W06000023,25.7,Powys,303993,270454,W92000004,2.187414842
W06000024,528.2,Merthyr Tydfil,306153,205467,W92000004,2.26401117
E06000007,1168,Warrington,362665,389223,E12000002,2.294764745
E06000008,1129.4,Blackburn with Darwen,369254,421850,E12000002,2.599673286
E06000009,4041.1,Blackpool,331921,436188,E12000002,2.128632947
E06000010,3730.1,Kingston upon Hull,509765,430588,E12000003,2.270463835
E06000013,200.4,North Lincolnshire,493268,411782,E12000003,2.294846741
E06000016,5027.2,Leicester,459135,304861,E12000004,2.767986812
E06000022,559.2,Bath and North East Somerset,367057,162001,E12000009,2.338826498
E06000025,584.3,South Gloucestershire,367431,183263,E12000009,2.412316576
E06000030,1014.4,Swindon,417817,185857,E12000009,2.41951535
E06000033,4335.6,Southend-on-Sea,589363,185610,E12000006,2.278947167
E06000034,1074.2,Thurrock,564863,181237,E12000006,2.638574183
E06000046,370,Isle of Wight,449779,86461,E12000008,2.121873649
E06000049,341.9,Cheshire East,376729,364874,E12000002,2.254596613
E06000052,160.9,Cornwall,199168,59975,E12000009,2.243607756
E07000011,199.6,Huntingdonshire,521228,276573,E12000006,2.319632149
E07000039,317.1,South Derbyshire,429750,326002,E12000004,2.339655172
E07000040,185.2,East Devon,313793,96775,E12000009,2.219770019
E07000044,100,South Hams,270440,54205,E12000009,2.228131276
E07000064,182.8,Rother,578409,119997,E12000008,2.166979407
E07000065,192.2,Wealden,554434,120966,E12000008,2.311179797
E07000066,1705.1,Basildon,570901,190821,E12000006,2.444416799
E07000073,3056.1,Harlow,545614,209915,E12000006,2.45471115
E07000078,2549.3,Cheltenham,395079,221973,E12000009,2.178396567
E07000081,3266.6,Gloucester,383531,216834,E12000009,2.355261971
E07000083,229,Tewkesbury,394038,227458,E12000009,2.30285114
E07000090,2228.4,Havant,471226,104842,E12000008,2.295918939
E07000103,4772.2,Watford,510556,197803,E12000006,2.555429379
E07000112,307.5,Folkestone and Hythe,610024,132599,E12000008,2.229979933
E07000119,491.2,Fylde,339324,432384,E12000002,2.120299952
E07000120,1126.6,Hyndburn,374414,429238,E12000002,2.337184904
E07000124,105.6,Ribble Valley,370849,445761,E12000002,2.263356638
E07000136,193.7,Boston,532926,343714,E12000004,2.369906809
E07000142,82.3,West Lindsey,501339,389522,E12000004,2.219742591
E07000147,106.6,North Norfolk,613546,332832,E12000006,2.084404846
E07000168,133.2,Scarborough,488815,497619,E12000003,2.097646852
E07000174,1440.2,Mansfield,455327,364075,E12000004,2.283352765
E07000198,166.4,Staffordshire Moorlands,401331,353540,E12000005,2.240088782
E07000202,3534.3,Ipswich,616698,244356,E12000006,2.317644093
E07000214,951.2,Surrey Heath,492648,161313,E12000008,2.467534992
E08000001,2117,Bolton,369187,409211,E12000002,2.461651135
E08000019,1512.5,Sheffield,430011,389797,E12000003,2.307161026
E09000012,13593.3,Hackney,534348,185478,E12000007,2.404200564
E07000075,512.7,Rochford,594750,191782,E12000006,2.400686184
E07000077,142.5,Uttlesford,556816,228707,E12000006,2.447183289
E07000105,228.6,Ashford,596857,139969,E12000008,2.45765369
E06000053,125.9,Isles of Scilly,91546,11139,E12000009,2.152704136
E09000001,2975,City of London,532539,181164,E12000007,1.702889703
